id,sentence1,sentence2,gold,pred,yes_prob,error_type,notes
75424 73b304a9-a40c-4688-94e2-7ed095fb8cb6,how should one behave on first day of college ?,how do i react on my first day of college ?,0,1,0.873821,similar_words_different_meaning,false_positive
375646 626b85f1-1aed-4632-9b1f-a6c0ef45e8ab,what are some interesting thematic maps ?,what are some of the most interesting maps ?,0,1,0.580730,similar_words_different_meaning,false_positive
263772 98bc775d-9438-4e6e-b810-068e7fbb0dd4,why are clear face masks worn for basketball ?,why do basketball players wear those clear masks ?,0,1,0.752101,needs_manual_review,false_positive
50672 def2971d-3c63-4699-a894-d373f11363f5,"there is a decline in foreign tourists in kerala . apart from the civic amenities , what would make you visit kerala often ?",what are tourists ' impressions about kerala ? what makes it unique and what needs to be improved ?,0,1,0.916118,needs_manual_review,false_positive
72398 b559fedb-29a5-40be-bf04-647560b0bd4b,cant black money holders put their money in multiple bank accounts to escape the income tax department or any other government department ?,what do i get from income tax department if i inform them about someones black money ?,0,1,0.681991,number_or_condition,false_positive
295413 7c5d471c-7076-4194-8dce-848a589505c0,how do i take care of my aging parents ?,what is the best way to take care of your parents as they age ?,0,1,0.872788,needs_manual_review,false_positive
67493 f07c7030-abdb-41d9-bc5d-0583e0181ada,reincarnation: can humans ever be born again ?,can we ever act human again ?,0,1,0.986570,needs_manual_review,false_positive
172056 59fc6bb8-f2a7-475e-9fa4-a8a389f5ea18,what makes a happy life ?,what is the way to make life happy ?,0,1,0.599288,needs_manual_review,false_positive
30405 dcee326c-de52-4843-96b5-c9a9c132b562,is being a good kid and not being a rebel worth it in the long run ?,is being a rebel good or bad ?,0,1,0.714011,needs_manual_review,false_positive
201400 8ca625d6-bef1-43d4-b9d1-1944db699522,can we being the extinct species back to life ?,can we bring back species that went extinct because of human intervention ? should we ?,0,1,0.950251,needs_manual_review,false_positive
158684 519d9f00-31f4-42d0-a37d-44b6636b9f11,why is donald trump so incoherent in his speech ?,why does donald trump repeat the same thing in almost all his speeches ?,0,1,0.665540,needs_manual_review,false_positive
144586 42421e15-0b1d-4c7e-aa34-c26056252baa,how would i decorate my room ?,how do i decorate a guest room ?,0,1,0.594890,similar_words_different_meaning,false_positive
252015 94686108-f8f3-4098-9184-bbd40ea13312,is masturbation good for a woman 's health also ?,is masturbating good for health ?,0,1,0.687703,similar_words_different_meaning,false_positive
183567 7ad2176a-3623-4ae5-9da8-8b247639c698,which type of nose i have ?,what type of nose do i have ?,0,1,0.962376,similar_words_different_meaning,false_positive
288254 296ac29e-da74-41bd-97f1-bd69254bc137,how can i learn a language from a friend ?,what are the best ways to learn a new language from home ?,0,1,0.690045,needs_manual_review,false_positive
158822 75d920bc-281a-44bf-b5a0-5176e57b897d,what is the best portrait photo ever taken ?,what 's the best photo ever taken ?,0,1,0.857705,similar_words_different_meaning,false_positive
131761 07da60cb-f70d-440b-9655-11e5fe012fe1,do women enjoy looking at naked men ?,how much do women enjoy looking at naked men ?,0,1,0.756629,similar_words_different_meaning,false_positive
169015 2827f2fa-6217-4e70-9dd3-8dd896d7108e,what is the best way to substitute regular sugar for powdered sugar in a recipe ?,how can you substitute sugar for powdered sugar in a recipe ?,0,1,0.870740,needs_manual_review,false_positive
200341 b3182d97-9e16-48f7-ae91-e2fd97b3b39c,if the superfluid dark matter is what ripples when galaxy clusters collide why wouldn 't it be what waves in a double slit experiment ?,does superfluid dm ripple when galaxy clusters collide and wave in a double slit experiment even though physics is too screwed up to figure it out ?,0,1,0.982945,number_or_condition,false_positive
330562 9325e2dc-0475-4d32-959d-bc96920d4f77,what are some things i can do for my girlfriend 's birthday ?,what are some suggestions for a gift for my girlfriend 's birthday ?,0,1,0.749964,similar_words_different_meaning,false_positive
246455 110287f3-6873-4702-88a8-be9584492fa5,alternate histories (hypothetical historical scenarios): what would have happened if the british had not conquered india ?,what would have happened if the british had ruled india for more than 100 years ?,0,1,0.819057,number_or_condition,false_positive
326910 8b2136a8-2ccd-4c01-8f3d-fcc03a49faf4,"you discover that your wonderful one-year-old child is , because of a mix-up at the hospital , not yours . what would you do ? would you want to exchange the child to try to correct the ""mistake"" ?",if you came to know that your ten year-old is not yours but got mixed up with another child in the hospital and you had the option of keeping only one of them what would you do ?,0,1,0.875425,number_or_condition,false_positive
181455 11918225-5b02-4683-98ac-c030d6576c76,how do you fix an hp laptop that won 't turn on ?,how do i fix a laptop that won 't turn on ?,0,1,0.689086,similar_words_different_meaning,false_positive
44283 aef777d5-d03a-40b7-b7f2-5aa1e5547ce0,how can i learn new things ?,how can i learn new things quickly ?,0,1,0.870003,similar_words_different_meaning,false_positive
70571 f931c2b5-742d-422f-a1cb-622e8fdea22d,is there truly a cure for cancer that’s being kept secret or hidden ?,why is there not a cure for cancer yet ?,0,1,0.835342,needs_manual_review,false_positive
175472 281b2d32-cd16-408d-8d8e-c68564084543,how can music change the world ?,how can pop music initiate change ?,0,1,0.657607,similar_words_different_meaning,false_positive
4008 d59b913a-4de2-4330-93f6-25eba6b4ade0,how are violin strings made ?,what are violin strings made of ?,0,1,0.615865,similar_words_different_meaning,false_positive
143884 55dd36d6-bbfa-49a9-98e4-4b8f46903a03,"does time really fly when you 're having fun , or is that just a throwaround phrase ?","is the phrase ""time flies when you 're having fun"" scientifically true ?",0,1,0.960438,needs_manual_review,false_positive
39843 322ddab8-753c-40da-92b9-9f8a12f9e205,what are the best resources to learn how to become an affiliate marketer ?,what would be the best online educational resources to learn for an affiliate marketing beginner ?,0,1,0.738100,similar_words_different_meaning,false_positive
123009 85ae4c4c-f3d1-4c50-9e50-1666651d7257,what is your review of ‘one indian girl’ by chetan bhagat (2016 book) ?,"how good is chetan bhagat’s new book , 'one indian girl ' ?",0,1,0.986473,number_or_condition,false_positive
352270 443053b6-40f9-4e6a-b554-a96885ad99fd,how can i search my answer or question on quora ?,how do you search on quora ?,0,1,0.809026,needs_manual_review,false_positive
280316 e7f0ad34-7e88-4e1b-bd0f-9d5bbf86285b,what existed before the beginning of the time ?,what existed before the big bang ?,0,1,0.853042,similar_words_different_meaning,false_positive
246234 fe0c319d-4809-49f2-b92e-b708c534003d,how can i successfully get multiple streams of income ?,how can one earn multiple streams of income online ?,0,1,0.630312,similar_words_different_meaning,false_positive
214639 bb4a0669-afbf-4b11-a732-5e665b50c5f4,what is really sarcastic and how can one be sarcastic ?,how are sarcastic people ?,0,1,0.728120,needs_manual_review,false_positive
327831 88e19bfa-071a-44f1-9a0d-552fdc92eb9e,what should i do if i don 't want to live ?,what if i don 't want to live ?,0,1,0.944235,similar_words_different_meaning,false_positive
326765 cdd4db29-a4f2-437b-873f-ee8098241358,what are the lesser known facts about indian railways ?,what are some amazing facts about the indian railways ?,0,1,0.858072,similar_words_different_meaning,false_positive
43310 1de85322-ffc6-40cc-b1ca-71264b4138a2,what are some ways of attracting a girl towards me ?,how do i get a girl attracted towards me ?,0,1,0.926621,needs_manual_review,false_positive
105049 45d996bf-dd94-476f-a0cd-bf2f3ca9bfc0,what is the purpose of being happy or sad ?,what 's the purpose of being happy ?,1,0,0.336077,needs_manual_review,false_negative
212123 3bce8c1e-ee02-4f9f-afbb-ea5590cf048f,how does one keep oneself motivated throughout a semester ?,what is the best way to keep oneself motivated (to study) for a longer time ?,1,0,0.177450,different_expression_same_meaning,false_negative
48287 33a7fb14-4802-41f8-88d8-196bb0362cc7,how many hours can a man fuck a woman in a single day ?,how many times in a day a man can fuck the lady ?,1,0,0.513146,needs_manual_review,false_negative
185617 d948c7eb-5c2b-423e-a48e-326a6b9eb76d,why is washington dc not a state ?,is washington d .c . considered a state ?,1,0,0.513524,needs_manual_review,false_negative
130603 41fd96ec-5147-4ff5-a8ce-59622f688717,should i tell people that i have become a millionaire ?,"i become a millionaire . should i tell my family , friends and ex-boyfriend ?",1,0,0.329648,needs_manual_review,false_negative
107537 6d9593cb-d03e-4ac4-afdc-9f16ac792b23,is having bad teeth a precursor or indicator that i will develop alzheimer 's disease ? i have bad teeth .,since bad genetics gave me bad teeth should i not be alive so i don 't get alzheimer 's disease ?,1,0,0.280944,different_expression_same_meaning,false_negative
187333 cb487abf-b697-4c5f-9d01-603172771150,why do i have to lie so much ?,why do people lie when they don 't have to ?,1,0,0.040776,number_or_condition,false_negative
213711 08a03860-b521-46f0-9207-0eadcd46ddf7,i had one set of pictures of my wife and another set for me . i merged the two . how do i unmerge and start over ?,i had one set of pictures of my wife and another set for me in my iphone (os 10) . i merged the two . how do i unmerge and start over ?,1,0,0.466098,number_or_condition,false_negative
167935 6c85fae6-369a-4219-9bfc-26cbab2a3559,can you work under pressure ?,do you work well under pressure ?,1,0,0.543316,needs_manual_review,false_negative
14494 e6f034a9-8185-47da-8bbd-997eeb4563ac,can i use short clips from copyrighted songs in my youtube videos ?,how do you use copyrighted music on youtube ?,1,0,0.539770,different_expression_same_meaning,false_negative
320289 ac5dfdc2-1fa4-4c1a-837b-b3329773866c,when will apple update its macbook pro line ?,when will apple upgrade its macbook pro line to the sandy bridge processor ?,1,0,0.022082,needs_manual_review,false_negative
233707 86964a59-5fb9-4ab5-9cdd-c48e03b689e9,how do i solve the problems of skillrack in vit without getting confused if i don 't get the output ?,how do i solve skillrack programming in vit with a proper output ?,1,0,0.359225,number_or_condition,false_negative
24248 79afd76e-18c1-4f28-8d90-e598250c99f7,how much can i make playing poker ?,"can i make 70 ,000 a month playing poker ?",1,0,0.298453,number_or_condition,false_negative
118129 85c500a0-4b43-4c5b-92ff-7eba2b5d1940,what should i do if i have purple fingernails ?,what does it mean when you have purple fingernails ?,1,0,0.428252,number_or_condition,false_negative
182551 e6e77cd3-658f-4cc3-9422-6f6a14b60cde,are donald trump supporters xenophobic ?,is it true that many trump supporters are closet racists ?,1,0,0.208250,needs_manual_review,false_negative
289333 a40a9037-a5a2-4dc8-9090-f5673f9a6acb,what is the best place to buy a house if you work in la downtown ?,what is the best place to buy a house if you work in downtown la ?,1,0,0.533379,needs_manual_review,false_negative
230719 cf0130d7-47c7-400c-9e9d-93c0f34c3cf4,what are the differences between different generations of fighter aircrafts ?,what are the 4 generations of fighter aircraft ?,1,0,0.392018,number_or_condition,false_negative
49889 f89f625f-3391-40bd-97df-3a780801cad3,what are some essential facts to know for living in delhi or the ncr ?,what are some essential ' delhi hacks ' ?,1,0,0.030359,needs_manual_review,false_negative
31453 75429a96-3160-4125-b471-338461bad982,how should i make a good film ?,"how do you make a good , low-budget indie film ?",1,0,0.399039,needs_manual_review,false_negative
128664 5339bc55-f1b1-45ff-8197-efb5bf54a292,how much would i cost to develope an app similar to uber ?,how much would it cost to develop an uber app clone ?,1,0,0.118986,needs_manual_review,false_negative
83294 5911a6fe-b212-496d-8492-9415c5df0d83,how do i enable an otg support in a device that does not have an otg support ?,how do i enable an otg support to my vivo v1 that does not have an otg support ?,1,0,0.203291,number_or_condition,false_negative
130553 9c43a2d3-8ba6-49e5-bf84-daf685a32d6e,what was 3rd reich ?,what was the third reich ? was there a first and second reich ?,1,0,0.456809,number_or_condition,false_negative
8881 d689873c-741a-44dc-bbd1-cc76bcc09686,for all bank po exam which is the best book especially for reasoning and quanta ?,"what are the best and most complete books for an sbi po associate , ibps specialized officer and a syndicate bank po exam preparation 2014 ?",1,0,0.264402,number_or_condition,false_negative
201912 aff09729-f68c-48d8-857e-8716b79a3b6e,how can i become smarter ?,can you become smarter ?,1,0,0.516922,needs_manual_review,false_negative
298624 a6fd0cf5-fde9-4925-af9b-47762c8ed341,how do i score 250+ in jee mains ?,how can i score 250+ in jee mains 2018 ?,1,0,0.174269,number_or_condition,false_negative
347780 a0d0b30f-af8c-4c4c-b276-686520b7742f,what is indian philosophy ?,what is the history of indian philosophy ?,1,0,0.364266,needs_manual_review,false_negative
74844 d765b809-eccd-437b-92f2-5cf16851773e,"are igcse and ib better boards than cbse , icse and other indian state boards in terms of educational methodology ?","which do you believe is a better board cbse , icse or ib or any of those state boards ?",1,0,0.108654,needs_manual_review,false_negative
232118 ff558876-6278-4363-a2ef-b4f435b69477,does the height increase after the age of 20 in boys ?,until what age does a boy 's height increase ?,1,0,0.391128,number_or_condition,false_negative
36192 6a42d0ea-6039-4fed-914d-6e6285d92601,what is the present scenario in us after doing ms ?,how suggestable is to do ms in us considering the present scenario ?,1,0,0.502759,number_or_condition,false_negative
353420 8091b29b-3b1d-4b39-a36c-4f41efd81b1c,what are your fav slayer album ?,what is the best slayer album ?,1,0,0.397879,needs_manual_review,false_negative
248755 db3fd26c-375e-4d84-861a-e18b2a5ff220,how can you find the percent empirical formula ?,how do you find the empirical formula from a percent composition ?,1,0,0.338548,needs_manual_review,false_negative
262719 ff7b7c48-f611-4d7d-903b-626412e3b32c,how can i get rid of from rats and cockroaches ?,how do i get rid of rats ?,1,0,0.341378,needs_manual_review,false_negative
43404 18cf9811-caea-420f-9ed4-32d5b0cb65cc,what should i do to become a cfa level 1 ?,how can i get cfa level 1 matrial ?,1,0,0.408542,number_or_condition,false_negative
196900 c412f405-9074-45b5-9e96-c7595f957c34,what happened to sammy in dance academy ?,why did sammy leave the dance academy ?,1,0,0.491134,needs_manual_review,false_negative
5472 56b7e637-a3b2-420e-a5bd-71497c3196b1,what does it feel like for a male to date or marry someone who is older than you ?,what does it feel like to be married to a woman who is significantly older than you ?,1,0,0.397335,needs_manual_review,false_negative
50330 9ee6a065-a2ca-4b14-ab0f-6445582f8cef,what does your homescreen look like ?,what does your android homescreen look like ?,1,0,0.370341,entity_or_name,false_negative
251235 d47986b8-52f1-41fb-a4b7-8932a994812a,how can i prepare for iit jee in 3 months ?,how should i prepare for jee in the last 3 months ?,1,0,0.434940,number_or_condition,false_negative
42584 5805ce43-10b5-40ae-9da6-728008b142b0,what is a quote that never fails to motivate you ?,what is the quote that motivated you ?,1,0,0.079656,needs_manual_review,false_negative
77256 888c5d1b-0b9c-44e1-8bea-a4eeaee7dabd,does any trader here have experienced with the delta charting group in tucson arizona ?,can anyone explain me the facility of delta charting group out of tucson arizona ?,1,0,0.552897,number_or_condition,false_negative
370187 a4b5dd05-f8d0-4f1b-89c1-0ae3fb11b580,what would have happened if president richard nixon didn 't resign ?,did richard nixon have to resign ?,1,0,0.556727,number_or_condition,false_negative
199789 9c3f7eb3-2cf2-439f-af8c-290ea5ecaecf,what 's the best way to learn c++ ?,how can i learn c and c++ ?,1,0,0.462394,different_expression_same_meaning,false_negative
79538 0afecbc7-b13a-4282-bc8d-8dd54df3d7da,what is saturation region of transistor ?,what is saturation & active region in a transistor ?,1,0,0.446242,needs_manual_review,false_negative
166925 e8d89532-4ddb-45a6-9f5f-ae4e5ff0a13a,how do i root a galaxy s5 ?,how do i root a galaxy s5 5 .0 at&t ?,1,0,0.056507,number_or_condition,false_negative
115772 47a54501-677b-4288-a365-02e10fa01dbf,how can i afford the fees of mba from nyu or harvard ?,how can i afford to pay mba fee ? i am perplexed,1,0,0.034036,needs_manual_review,false_negative
254169 35d062fc-8471-407f-92ae-ab300a25c68a,is obama a better president than bill clinton ?,will president obama 's legacy be looked upon more fondly than president bill clinton’s ?,1,0,0.546844,needs_manual_review,false_negative
20998 c9fc1258-ac9e-4aa2-9764-01d38224640f,what is antisocial personality disorder ?,what is your review of antisocial personality disorder ?,1,0,0.482124,needs_manual_review,false_negative
253352 34e86213-59ab-4d30-8fa1-c3aecfc16e71,what size dick is good for sex ?,what dick size do girls like ?,1,0,0.070466,needs_manual_review,false_negative
386291 79f554a6-336b-48e2-8d91-e7a1e7b581f5,are ugly women more likely to become foam in the mouth feminazis than beautiful women ?,why are ugly looking/physically unattractive women more likely to be feminists ?,1,0,0.248740,needs_manual_review,false_negative
120855 9048a212-5ba4-4bd1-99d5-243c4199d969,how would you simplify [math]i^{100}[/math] ?,how do i simplify i∧100 ?,1,0,0.066610,number_or_condition,false_negative
185360 ea90b236-4d20-4eda-934a-167bd0076c78,why hitler hated jews that much ?,what did jews actually do to make hitler hate them that much ?,1,0,0.428506,needs_manual_review,false_negative
289527 8af1b097-e990-4e5a-80c2-37376fca605e,what is the process of selecting cars for the show overhaulin ?,how can i apply for my car to be on overhaulin ' ?,0,1,0.560027,needs_manual_review,borderline
5504 9dc5b954-1b71-4878-aff2-3a937e776b1f,what kind of information is stored in a plane 's black box ?,what information is stored on a black box ?,1,0,0.559927,needs_manual_review,borderline
96270 82431a91-8ed0-44f0-9bf1-f22393bf2963,how cadre is allotted afer selection in cse ?,how is the cadre alloted after selection in cse for all the services under upsc cse exam ?,0,0,0.559923,number_or_condition,borderline
391597 51649267-e3a2-40f0-ac49-f3c3655e064b,"what cultural value does the asian elephant have in southern china nowadays , and how does this benefit their conservation ?","what cultural value do asian elephants hold in china today , and does this benefit their conservation ?",1,1,0.560088,needs_manual_review,borderline
354939 86c79b01-c661-4f63-8ecd-ec914a95bd47,i am going to turn 20 soon . what advice do you have for me ?,i 'm turning 21 today . what advice do you have for me ?,0,1,0.560090,number_or_condition,borderline
67648 b20d968c-0d3c-48b7-84d8-ac9daebc525e,what is cache coherence and what functions does it carry out ?,what is the difference between cache consistency and cache coherence ?,0,1,0.560092,needs_manual_review,borderline
240788 1083f292-6425-4f1a-8c4d-77fac0f9b577,can a f1 visa holder get a government job in us after graduation ?,can i get a us f1 visa if i am unemployed ?,0,0,0.559842,number_or_condition,borderline
99570 27847fdb-c724-403b-85ac-b099c83adc82,why does ios have a great ui ?,why does whatsapp for ios have a bad ui ?,0,0,0.559826,needs_manual_review,borderline
49011 523884d1-4256-4e81-8fdf-4a32146bbe7b,what is the biggest ecommerce company in brazil ?,what are the top 50 ecommerce companies in brazil ?,1,0,0.559708,number_or_condition,borderline
243333 7d6bb6e1-9118-462c-a586-62e02a846d27,how can i motivate myself programming ?,how can i motivate myself to study programming ?,1,0,0.559562,needs_manual_review,borderline
31212 51106276-f2dc-4b13-a9ee-193ad4d2a828,is there any way to completely bypass icloud activation lock on an iphone 6 ?,which is the best site for unlocking icloud activation lock in iphone 5 ?,1,1,0.560579,number_or_condition,borderline
239439 b14e9d7b-c9dc-4297-ae44-11a538404e4d,can i travel outside usa while my opt extension application is still pending ?,is is okay to travel to india while my opt extension is in process ?,1,1,0.560607,entity_or_name,borderline
174936 08461ff7-9b0c-4013-b770-0c668c7b5191,what is the scope of placements in biotechnology ?,what is scope in biotechnology ?,0,1,0.560620,similar_words_different_meaning,borderline
384755 5f3e4e11-22cb-4937-a40c-775c1193e329,how do i overcome emotional attachment to a person ?,what do you do to overcome emotional attachments ?,1,1,0.560795,needs_manual_review,borderline
284903 6ec1e340-29c9-4274-8c44-739fd2f50a21,how do i find local sex partner ?,where can i find a sex partner ?,0,1,0.560796,similar_words_different_meaning,borderline
25244 bfb141f3-405b-4528-b1dd-46f67d11cbcd,why can 't i like my comment on instagram ?,why can 't i like people 's comments on instagram after updating ?,0,0,0.559104,number_or_condition,borderline
23847 903e48a8-cb5d-4471-bf83-93626b828f3a,how do you know what your talent is ?,how do i know my inner talent ?,1,1,0.560919,needs_manual_review,borderline
199917 6153ba04-da52-4d66-85fa-205b557d8a9e,"who would be the major players in ww3 , and what countries would probably become allies ?",which countries would survive and fare relatively well during and after ww3 ?,0,1,0.561004,number_or_condition,borderline
54343 fd1e8b67-9b4e-41fd-ac3a-5fb85eea4551,should i give my jee main exam offline or online ?,which mode is best for jee main 2017 online exam or offline ?,1,0,0.558996,number_or_condition,borderline
43008 1159908c-add5-4624-bca5-d6a53959ddb7,what is net banking ?,what does net banking actually do ?,1,1,0.561009,needs_manual_review,borderline
393285 619a7913-d68a-430b-926f-ca45ca9a104a,"liberals , why don’t you want america to be great again ?",why are some people opposed to making america great again ?,0,0,0.558976,needs_manual_review,borderline
259447 1fd1de7f-ba39-49f1-a9d6-e7b890a08c5e,how should working people aiming to take the cat manage preparations with work ?,what are the best possible ways to prepare for cat while you are working ?,0,0,0.558966,number_or_condition,borderline
81324 95bdcb00-123a-4dba-95bf-7334cfd616c4,what can you do with a communications degree ?,what did you do with your communications degree ?,0,0,0.558928,needs_manual_review,borderline
80258 8d19506e-1e11-4183-b2bb-efbc574d8968,what are some tips on not getting distracted while studying ?,how do i study online without getting distracted or sidetracked ?,1,0,0.558900,number_or_condition,borderline
26979 6a0addf9-86d4-4488-8b9f-dbb2b43f8007,which should i start with: angular 2 or angularjs 1 ?,should i go for angularjs or angular 2 (beta version) ?,1,1,0.561101,number_or_condition,borderline
29239 1aaf28ac-2b13-4f6a-a57e-1e674418fa2b,which one should i learn first: javascript or php ?,should i learn php or javascript or both ?,0,1,0.561105,similar_words_different_meaning,borderline
287859 02034078-e40e-4b34-9628-5b5b8a829f36,do wolves have the temperament to be kept as domestic pets ?,are wolves as loyal as dogs ? are they good pets ?,1,0,0.558870,different_expression_same_meaning,borderline
50383 a777e504-1536-4670-ba50-a36f73c2c885,is it true that sleeping with your phone under your pillow gives you radiation and can cause brain tumor ?,does mobile phone radiation really cause brain tumors ?,0,1,0.561145,number_or_condition,borderline
279794 c072bc7f-b9d1-4483-a313-8f3442a748c2,"should i buy a macbook air , macbook , or macbook pro ?",which is better macbook or macbook pro or macbook air ? or should i buy windows pc ?,0,0,0.558795,entity_or_name,borderline
232239 45e190e6-8b7f-4907-b7b7-1b2f8dbec03c,what is the best answer for tell me about your self in an interview ?,what should be the best answer for tell me something about yourself ?,1,0,0.558788,needs_manual_review,borderline
338757 2df22437-fe18-4bb7-b3a9-4dfe55041957,how can i add an upload button to a google form ?,how do i add an upload to a google form ?,1,1,0.561233,needs_manual_review,borderline
370853 f50618fa-e001-4438-8752-5d04cb8c6951,can you share some examples of pseudo feminism ?,what is pseudo feminism ?,1,1,0.561238,needs_manual_review,borderline
134660 1da99275-0c40-498b-8433-e7d1435c59e9,what is the best way to live a happy and successful life ?,kindly tell me what i do for my successful life ?,1,1,0.561289,needs_manual_review,borderline
207915 051b542b-2be7-4037-b693-522372251b42,what is a waterfall ?,"what is ""waterfalling"" ?",0,1,0.561318,similar_words_different_meaning,borderline
81412 040ee7d1-7866-4eba-b89a-b012c3de1deb,what is identity politics ?,what is identity politics and what is and example of it ?,1,1,0.561353,needs_manual_review,borderline
373901 37288127-0656-467b-902d-4928d41182fd,how was chris wallace as a moderator in the presidential debate ?,"were you impressed with the way chris wallace , moderator of the third presidential debate performed ?",1,0,0.558641,number_or_condition,borderline
12335 83c63c64-ab3c-44aa-aa01-8f98ca21de4b,why did you leave orthodox judaism ?,why would someone leave (orthodox) judaism ? do they stop believing ?,1,0,0.558609,needs_manual_review,borderline
13775 fb23a5fc-fac1-461f-84e8-953da3fcad07,how risky are penny stocks,what are penny stocks ?,0,1,0.561396,needs_manual_review,borderline
219287 208ac44c-246b-43c8-951e-b4ec500c1bd5,what are some of the best hostel life stories ?,what is the best story of your hostel life ?,0,1,0.561499,similar_words_different_meaning,borderline
339856 fe175964-95ce-4511-8b08-93dab73e1e26,"if you had the power to cause anything to happen , what would you cause to happen ?",what would you do if you had the power of god ?,1,1,0.561593,needs_manual_review,borderline
73498 1e285d5b-e900-4e24-a7e5-bba0707441a2,why was rio chosen to host the 2016 olympic games ?,what are the reasons behind the poor performance of india in olympics ?,0,0,0.558379,number_or_condition,borderline
343193 1c6f3f6f-e8df-4cb0-ada7-21e09cc0a3ae,who are some of the best indian writers in the english language ?,who are the best contemporary indian writers in english ?,1,1,0.561699,needs_manual_review,borderline
175829 19146233-18b7-4cb3-8717-111699a8a632,what do you do about a fear of driving ?,how do i get over my fear of driving ?,1,0,0.558274,needs_manual_review,borderline
229183 791d9c69-aeed-4f9a-9460-11abe957f6e6,why 's talking to girls in person harder than online ?,why is talking to a girl in person and online different ?,0,0,0.558267,needs_manual_review,borderline
116112 50d1c6df-8da7-4423-bf33-55be9fef9fcc,how do you crush ice in a blender ?,how do you crush ice without a blender ?,0,0,0.558220,number_or_condition,borderline
326271 097c6c62-2b72-4552-a4dc-3163dd1f86e4,is it possible that donald trump 's skin color is naturally that shade of orange ?,why does donald trump have orange skin ?,0,1,0.561787,needs_manual_review,borderline
314229 960f4f49-72da-46d4-8e95-d776100b0167,what advantages do men have that women don 't have ?,what advantages do men have that women don 't have and what advantages do women have that men don 't have ?,1,0,0.558169,needs_manual_review,borderline
120660 5100a2e4-7514-40e0-9f6f-e714e9a75ccf,what are temporary storage devices ? what are some examples ?,what are some examples of temporary storage devices for computers ?,1,1,0.561878,needs_manual_review,borderline
236243 1e7bc390-54e5-4315-ad40-2c5b457dd23e,what are the best ways to get rid of an addiction ?,what is the best way to get rid of addictions like facebook and whatsapp ?,1,0,0.558099,entity_or_name,borderline
178658 504ea4be-2837-4e87-aa41-4c7568ad03fb,which dslr camera would be best for me ?,what is the best basic dslr camera and lens to buy for the beginners ?,0,1,0.562034,needs_manual_review,borderline
